2012, Swimming, Netherlands, gold, 1
2016, Rowing, Turkey, gold, 0
2016, Cycling, Netherlands, bronze, 1
2016, Gymnastics, United States, b, 1
2016, Volleyball, Netherlands, gold, 3
2016, Cycling, Italy, gold, 0
2016, Football / Soccer, Netherlands, bronze, 3
2016, Cycling, Norway, gold, 1
2016, Swimming, China, silver, 6
2012, Swimming, Poland, s, 3
2004, Rowing, Belgium, silver, 5
2004, Athletics, Belgium, bronze, 1
2016, Cycling, Germany, silver, 2
2012, Football / Soccer, Cuba, silver, 1
2004, Football / Soccer, Turkey, bronze, 3
2012, Tennis, East Germany, bronze, 4
2012, Cycling, China, gold, 4
2004, Cycling, Cuba, bronze, 0
2016, Rowing, France, silver, 1
2016, Gymnastics, South Korea, gold, 4
2012, Swimming, France, silver, 1
2016, Rowing, Switzerland, gold, 1
2008, Cycling, Denemark, silver, 3
2008, Tennis, South Korea, silver, 1
2008, Swimming, Belgium, bronze, 5
2004, Tennis, Australia, silver, 5
2012, Modern Pentathlon, China, bronze, 6
2012, Cycling, Turkey, gold, 1
2004, Tennis, Soviet Union, bronze, 6
16, Football / Soccer, Hungary, bronze, 5
2004, Athletics, Cuba, silver, 0
16, Modern Pentathlon, Japan, silver, 5
2008, Modern Pentathlon, Sweden, bronze, 0
2008, Synchronized Swimming, Japan, gold, 6
2016, Football / Soccer, Germany, bronze, 5
2012, Modern Pentathlon, Cuba, gold, 0
2004, Cycling, Russia, gold, 2
2004, Modern Pentathlon, Cuba, gold, 5
2004, Athletics, Soviet Union, silver, 4
2008, Rowing, Denemark, b, 0
2008, Gymnastics, Canada, bronze, 1
2012, Football / Soccer, Russia, silver, 5
2012, Athletics, Netherlands, gold, 5
2008, Cycling, West Germany, gold, 0
2004, Athletics, Commonwealth of Independent States, gold, 0
2016, Volleyball, South Korea, gold, 0
2008, Modern Pentathlon, United States, silver, 6
2016, Swimming, Australia, bronze, 2
2008, Cycling, France, gold, 4
2016, Cycling, Great Britain, silver, 1
2008, Tennis, Sweden, bronze, 4
2008, Volleyball, Austria, silver, 3
2016, Tennis, China, gold, 0
2004, Gymnastics, Japan, gold, 6
2012, Volleyball, Italy, bronze, 4
2016, Volleyball, Russia, bronze, 4
2008, Rowing, Commonwealth of Independent States, silver, 4
2016, Cycling, Austria, gold, 0
2004, Cycling, Commonwealth of Independent States, gold, 4
2016, Cycling, Poland, gold, 0
2016, Tennis, West Germany, silver, 3
2004, Swimming, Cuba, gold, 4
2008, Rowing, Great Britain, gold, 6
2008, Synchronized Swimming, East Germany, bronze, 5
2012, Gymnastics, Netherlands, bronze, 5
2012, Athletics, Poland, silver, 0
2012, Gymnastics, Australia, bronze, 2
2012, Rowing, Norway, silver, 1
2016, Football / Soccer, Czechoslovakia, bronze, 5
2016, Rowing, Austria, bronze, 0
2012, Synchronized Swimming, Finland, gold, 0
2012, Swimming, China, silver, 0
2016, Cycling, Czechoslovakia, gold, 0
2012, Volleyball, Australia, bronze, 0
2008, Modern Pentathlon, Japan, gold, 0
2008, Tennis, Netherlands, bronze, 2
2012, Rowing, Soviet Union, b, 5
2004, Swimming, Bulgaria, gold, 1
2012, Rowing, Finland, gold, 2
2016, Gymnastics, Japan, bronze, 5
2012, Volleyball, Austria, bronze, 6
2016, Athletics, Commonwealth of Independent States, gold, 5
2012, Rowing, Turkey, bronze, 0
2004, Gymnastics, Finland, gold, 0
2016, Rowing, Soviet Union, silver, 4
2004, Gymnastics, Romania, gold, 1
2004, Modern Pentathlon, France, gold, 2
2008, Tennis, Netherlands, gold, 4
2008, Modern Pentathlon, Norway, gold, 5
2012, Modern Pentathlon, Commonwealth of Independent States, bronze, 4
2004, Football / Soccer, Norway, bronze, 2
2012, Football / Soccer, Australia, silver, 2
2012, Synchronized Swimming, Belgium, silver, 3
2004, Modern Pentathlon, Hungary, silver, 4
2016, Volleyball, Italy, gold, 5
2012, Volleyball, Poland, silver, 1
2012, Rowing, Cuba, bronze, 1
2016, Gymnastics, Great Britain, gold, 2
2004, Rowing, France, gold, 0
2012, Athletics, East Germany, gold, 0
2008, Football / Soccer, Switzerland, bronze, 1
2004, Synchronized Swimming, Poland, bronze, 4
2008, Modern Pentathlon, West Germany, silver, 4
2016, Cycling, Austria, bronze, 4
2016, Synchronized Swimming, Switzerland, gold, 4
2012, Rowing, China, bronze, 0
2008, Volleyball, East Germany, gold, 5
2004, Swimming, Australia, gold, 0
2012, Tennis, Australia, bronze, 2
2012, Gymnastics, Switzerland, silver, 1
2016, Cycling, France, silver, 2
2012, Synchronized Swimming, Canada, silver, 4
2008, Football / Soccer, Netherlands, gold, 4
2016, Gymnastics, South Korea, silver, 4
2004, Football / Soccer, West Germany, silver, 6
2004, Volleyball, Soviet Union, gold, 1
2008, Athletics, Netherlands, gold, 1
2004, Volleyball, East Germany, gold, 4
2012, Swimming, Russia, gold, 2
2012, Football / Soccer, Japan, bronze, 3
2004, Football / Soccer, Russia, silver, 2
2008, Swimming, Germany, silver, 0
2008, Volleyball, Romania, bronze, 0
2008, Cycling, Poland, silver, 5
2016, Tennis, East Germany, silver, 5
2016, Athletics, Japan, gold, 2
2016, Athletics, France, gold, 2
2008, Athletics, Commonwealth of Independent States, gold, 5
2008, Swimming, Russia, silver, 1
2012, Cycling, Cuba, silver, 2
2004, Volleyball, Belgium, bronze, 6
2008, Gymnastics, Italy, silver, 3
2004, Athletics, Romania, silver, 4
2012, Tennis, Italy, gold, 1
2012, Swimming, Japan, bronze, 4
2012, Swimming, Netherlands, bronze, 2
2012, Swimming, China, bronze, 0
2004, Tennis, South Korea, gold, 6
2012, Gymnastics, Sweden, gold, 3
2004, Tennis, Commonwealth of Independent States, gold, 1
2016, Modern Pentathlon, Czechoslovakia, gold, 3
2008, Athletics, Great Britain, silver, 0
8, Cycling, Russia, silver, 4
2004, Swimming, Soviet Union, gold, 2
2008, Modern Pentathlon, Romania, gold, 6
2016, Athletics, Cuba, g, 0
2012, Athletics, Romania, gold, 3
2016, Athletics, East Germany, bronze, 5
2012, Cycling, Australia, gold, 0
2016, Swimming, Cuba, gold, 5
2008, Modern Pentathlon, Italy, bronze, 0
2012, Volleyball, Turkey, bronze, 4
2008, Swimming, Denemark, gold, 1
2004, Swimming, Canada, bronze, 4
2004, Volleyball, Japan, gold, 2
2008, Football / Soccer, Austria, silver, 1
2008, Cycling, Italy, gold, 3
2004, Volleyball, France, silver, 2
2016, Volleyball, Switzerland, silver, 2
2004, Volleyball, East Germany, silver, 6
2012, Football / Soccer, Netherlands, gold, 0
2008, Football / Soccer, Poland, bronze, 4
8, Synchronized Swimming, Belgium, silver, 1
2008, Volleyball, Netherlands, bronze, 1
2016, Synchronized Swimming, Commonwealth of Independent States, silver, 4
2004, Football / Soccer, Belgium, silver, 4
2016, Gymnastics, United States, gold, 5
2008, Swimming, Italy, gold, 0
2016, Rowing, Russia, bronze, 6
2016, Modern Pentathlon, Netherlands, gold, 0
2008, Gymnastics, Commonwealth of Independent States, bronze, 2
2008, Synchronized Swimming, Commonwealth of Independent States, silver, 1
2016, Synchronized Swimming, Netherlands, gold, 0
2012, Football / Soccer, Cuba, bronze, 2
2004, Football / Soccer, Finland, bronze, 6
2012, Tennis, Soviet Union, gold, 3
2012, Volleyball, Commonwealth of Independent States, gold, 0
2012, Modern Pentathlon, Japan, silver, 6
2004, Rowing, Romania, gold, 3
2008, Swimming, East Germany, silver, 4
2016, Modern Pentathlon, Russia, bronze, 3
2016, Gymnastics, Poland, gold, 4
2004, Gymnastics, East Germany, bronze, 4
2008, Tennis, Austria, bronze, 6
2008, Volleyball, West Germany, gold, 5
2012, Tennis, Turkey, gold, 2
2008, Tennis, Romania, silver, 3
2004, Gymnastics, Finland, silver, 1
2012, Tennis, West Germany, bronze, 2
2008, Tennis, Bulgaria, bronze, 2
2012, Modern Pentathlon, Belgium, gold, 2
2008, Synchronized Swimming, United States, bronze, 2
2012, Volleyball, Canada, gold, 0
2004, Cycling, Great Britain, silver, 5
2008, Swimming, Italy, bronze, 5
2004, Cycling, Austria, bronze, 4
2004, Gymnastics, Denemark, silver, 5
2004, Tennis, Poland, silver, 0
2012, Rowing, Canada, silver, 0
2012, Gymnastics, Germany, gold, 2
2016, Cycling, Italy, silver, 4
2004, Swimming, Romania, silver, 4
2008, Cycling, Germany, bronze, 3
2008, Rowing, Japan, silver, 4
2016, Tennis, Finland, gold, 6
2008, Gymnastics, France, gold, 0
2004, Football / Soccer, Italy, bronze, 0
2016, Volleyball, Russia, silver, 1
2012, Volleyball, Australia, gold, 4
2004, Synchronized Swimming, Italy, gold, 2
2008, Swimming, Japan, bronze, 0
2004, Swimming, Sweden, bronze, 2
2012, Rowing, France, silver, 5
2004, Tennis, China, bronze, 2
2012, Swimming, Turkey, bronze, 6
2012, Gymnastics, Sweden, silver, 1
2016, Athletics, Austria, gold, 5
2004, Athletics, Australia, gold, 0
2008, Tennis, Turkey, gold, 6
2012, Swimming, Soviet Union, bronze, 3
2012, Gymnastics, Denemark, gold, 5
2012, Volleyball, Norway, bronze, 3
2008, Rowing, Japan, bronze, 2
2012, Gymnastics, Commonwealth of Independent States, bronze, 2
2012, Synchronized Swimming, China, bronze, 4
2012, Football / Soccer, West Germany, silver, 6
2004, Synchronized Swimming, West Germany, silver, 6
2012, Tennis, China, silver, 5
2004, Football / Soccer, Denemark, bronze, 5
2008, Gymnastics, Russia, bronze, 4
2008, Modern Pentathlon, Czechoslovakia, bronze, 3
2008, Gymnastics, Hungary, bronze, 4
2004, Volleyball, Commonwealth of Independent States, gold, 1
2016, Football / Soccer, South Korea, gold, 5
2008, Volleyball, Belgium, bronze, 0
2016, Modern Pentathlon, West Germany, s, 1
2012, Cycling, Austria, bronze, 2
2008, Rowing, Japan, gold, 6
2016, Football / Soccer, Great Britain, gold, 0
2012, Cycling, Netherlands, gold, 0
2016, Gymnastics, Japan, s, 0
2004, Football / Soccer, Canada, gold, 5
2012, Gymnastics, Bulgaria, gold, 0
2016, Modern Pentathlon, Czechoslovakia, bronze, 4
2016, Cycling, Soviet Union, bronze, 3
2016, Athletics, Australia, bronze, 3
2008, Synchronized Swimming, France, bronze, 1
2004, Cycling, South Korea, gold, 0
2012, Swimming, Finland, gold, 5
2008, Gymnastics, Great Britain, gold, 1
2012, Cycling, Netherlands, silver, 2
2004, Athletics, Italy, gold, 4
2008, Swimming, Cuba, bronze, 4
2012, Cycling, Belgium, bronze, 5
2016, Volleyball, Commonwealth of Independent States, gold, 2
2004, Gymnastics, Austria, silver, 1
2008, Swimming, Japan, gold, 3
2016, Swimming, United States, gold, 3
2008, Synchronized Swimming, Soviet Union, gold, 6
2012, Gymnastics, East Germany, bronze, 6
2016, Rowing, United States, bronze, 0
2016, Football / Soccer, Canada, bronze, 3
2008, Modern Pentathlon, Austria, silver, 5
2008, Tennis, South Korea, gold, 5
2004, Volleyball, Finland, bronze, 6
2016, Athletics, East Germany, gold, 3
2008, Volleyball, Finland, gold, 5
2008, Football / Soccer, Commonwealth of Independent States, bronze, 2
2016, Swimming, Great Britain, bronze, 4
2012, Swimming, Denemark, bronze, 5
2004, Cycling, Finland, gold, 6
2004, Tennis, Norway, bronze, 3
2012, Volleyball, Cuba, gold, 4
4, Football / Soccer, China, silver, 2
2012, Synchronized Swimming, Germany, bronze, 1
2016, Synchronized Swimming, Russia, bronze, 4
2016, Swimming, France, bronze, 2
2004, Modern Pentathlon, Soviet Union, bronze, 5
2016, Modern Pentathlon, Cuba, bronze, 0
2012, Modern Pentathlon, Austria, gold, 3
2016, Modern Pentathlon, Soviet Union, gold, 1
2008, Modern Pentathlon, Soviet Union, bronze, 2
2012, Athletics, Norway, bronze, 0
2016, Volleyball, Bulgaria, silver, 6
2008, Tennis, China, gold, 5
2004, Swimming, Finland, silver, 3
2008, Football / Soccer, Soviet Union, silver, 6
16, Football / Soccer, Canada, silver, 0
2012, Football / Soccer, Commonwealth of Independent States, silver, 6
2004, Gymnastics, Netherlands, bronze, 5
2016, Football / Soccer, Australia, silver, 2
2004, Cycling, Czechoslovakia, bronze, 1
2008, Cycling, Turkey, silver, 0
2016, Cycling, Belgium, bronze, 5
2008, Tennis, China, bronze, 4
2016, Swimming, Denemark, bronze, 2
2016, Rowing, Great Britain, gold, 0
2016, Cycling, Switzerland, gold, 6
2016, Synchronized Swimming, Switzerland, silver, 4
2004, Football / Soccer, South Korea, gold, 3
2016, Gymnastics, China, gold, 3
2012, Synchronized Swimming, Belgium, gold, 0
2004, Volleyball, Great Britain, gold, 4
2016, Gymnastics, Finland, bronze, 0
2012, Synchronized Swimming, Japan, gold, 6
2016, Rowing, Turkey, bronze, 4
2004, Rowing, West Germany, bronze, 2
2012, Tennis, Bulgaria, silver, 6
2012, Swimming, Sweden, silver, 2
2012, Gymnastics, Russia, gold, 2
2012, Rowing, Czechoslovakia, bronze, 0
2004, Rowing, Italy, bronze, 2
2008, Volleyball, Russia, bronze, 2
2012, Rowing, Soviet Union, gold, 0
2012, Synchronized Swimming, South Korea, bronze, 5
2016, Rowing, Sweden, gold, 2
2008, Football / Soccer, Germany, silver, 0
2012, Football / Soccer, Russia, bronze, 3
2004, Volleyball, Czechoslovakia, bronze, 2
2016, Tennis, Finland, bronze, 1
2008, Volleyball, Czechoslovakia, bronze, 3
2004, Rowing, Commonwealth of Independent States, gold, 3
2012, Volleyball, Bulgaria, bronze, 6
2008, Swimming, Great Britain, gold, 1
2012, Athletics, South Korea, bronze, 3
2004, Gymnastics, Finland, bronze, 6
2008, Rowing, Canada, gold, 2
2016, Synchronized Swimming, Cuba, gold, 4
2004, Tennis, West Germany, bronze, 4
2008, Tennis, Cuba, bronze, 4
2012, Athletics, Germany, silver, 5
2004, Rowing, South Korea, gold, 5
2016, Synchronized Swimming, France, bronze, 2
2008, Athletics, Sweden, gold, 1
2012, Football / Soccer, United States, bronze, 4
2012, Tennis, Cuba, silver, 5
2004, Rowing, China, silver, 4
2012, Tennis, Soviet Union, silver, 0
2016, Athletics, Russia, silver, 2
2004, Tennis, Turkey, gold, 5
2004, Athletics, Germany, bronze, 6
2004, Tennis, Norway, g, 1
2008, Football / Soccer, Cuba, silver, 5
2004, Cycling, Germany, silver, 6
2012, Football / Soccer, Netherlands, silver, 0
2008, Athletics, Austria, bronze, 1
2016, Synchronized Swimming, Australia, silver, 1
2012, Swimming, Switzerland, bronze, 4
2004, Tennis, Great Britain, bronze, 0
2004, Football / Soccer, Czechoslovakia, gold, 3
2008, Synchronized Swimming, West Germany, bronze, 5
2012, Modern Pentathlon, Cuba, bronze, 6
2012, Football / Soccer, Romania, silver, 1
2004, Synchronized Swimming, United States, bronze, 5
2012, Cycling, Russia, bronze, 0
2008, Cycling, Belgium, silver, 3
2016, Synchronized Swimming, Japan, gold, 2
2016, Football / Soccer, Italy, bronze, 4
2008, Cycling, Netherlands, silver, 0
2012, Tennis, Belgium, silver, 3
2016, Tennis, Romania, bronze, 6
2016, Swimming, Great Britain, silver, 2
8, Synchronized Swimming, Norway, silver, 2
2004, Cycling, United States, bronze, 5
2012, Athletics, Poland, gold, 6
2012, Tennis, Romania, gold, 2
2016, Rowing, China, silver, 0
2012, Synchronized Swimming, United States, bronze, 4
2012, Modern Pentathlon, Denemark, silver, 6
2016, Football / Soccer, Hungary, gold, 2
2012, Tennis, Russia, silver, 0
2008, Modern Pentathlon, China, bronze, 5
2016, Football / Soccer, Netherlands, gold, 0
2004, Gymnastics, Turkey, gold, 0
2012, Tennis, France, bronze, 0
2004, Swimming, Sweden, silver, 3
2012, Gymnastics, China, silver, 5
2016, Tennis, Switzerland, gold, 2
2004, Football / Soccer, Netherlands, gold, 1
2004, Modern Pentathlon, Commonwealth of Independent States, bronze, 5
2004, Gymnastics, Turkey, bronze, 3
2016, Tennis, Netherlands, silver, 3
2008, Rowing, South Korea, gold, 3
2004, Swimming, France, bronze, 5
2008, Tennis, East Germany, bronze, 5
2008, Athletics, Romania, silver, 4
2012, Cycling, Japan, bronze, 5
2012, Rowing, Switzerland, bronze, 0
12, Swimming, Romania, silver, 4
2004, Synchronized Swimming, Cuba, silver, 5
16, Modern Pentathlon, Commonwealth of Independent States, gold, 5
2008, Rowing, Belgium, bronze, 6
2016, Tennis, Bulgaria, silver, 6
2004, Synchronized Swimming, Poland, silver, 1
2016, Volleyball, Poland, silver, 3
2012, Rowing, Sweden, gold, 6
2016, Tennis, Netherlands, gold, 1
2004, Gymnastics, South Korea, bronze, 3
2016, Gymnastics, Great Britain, silver, 1
2004, Rowing, Cuba, silver, 3
2016, Cycling, Czechoslovakia, bronze, 6
2012, Synchronized Swimming, United States, silver, 2
2016, Athletics, Romania, bronze, 6
2016, Tennis, Sweden, gold, 5
2016, Tennis, Romania, gold, 3
2016, Swimming, Soviet Union, silver, 0
2008, Modern Pentathlon, Netherlands, gold, 0
2004, Rowing, Soviet Union, silver, 6
2008, Gymnastics, United States, gold, 5
2004, Football / Soccer, Italy, silver, 5
2016, Athletics, Finland, gold, 0
2016, Modern Pentathlon, Finland, silver, 6
2004, Swimming, Cuba, bronze, 2
12, Gymnastics, Italy, gold, 2
2004, Volleyball, United States, gold, 1
2012, Athletics, Japan, bronze, 5
2012, Modern Pentathlon, Germany, gold, 5
2012, Football / Soccer, Germany, g, 1
2008, Football / Soccer, South Korea, silver, 2
2008, Football / Soccer, Italy, bronze, 6
2008, Synchronized Swimming, Hungary, gold, 5
2004, Synchronized Swimming, Russia, silver, 6
2004, Rowing, Australia, bronze, 0
2012, Modern Pentathlon, Commonwealth of Independent States, silver, 4
2008, Athletics, West Germany, bronze, 5
2012, Gymnastics, Sweden, bronze, 1
2012, Volleyball, East Germany, gold, 2
2008, Football / Soccer, West Germany, silver, 1
2012, Modern Pentathlon, Cuba, silver, 0
2008, Tennis, Great Britain, bronze, 1
2016, Volleyball, China, silver, 5
2016, Athletics, Canada, bronze, 5
2012, Tennis, Norway, bronze, 5
2016, Cycling, East Germany, bronze, 0
2016, Athletics, Sweden, bronze, 1
2004, Volleyball, Norway, silver, 3
2008, Football / Soccer, Poland, silver, 5
2008, Synchronized Swimming, Cuba, gold, 0
2008, Modern Pentathlon, Belgium, gold, 3
2016, Gymnastics, West Germany, gold, 1
2008, Football / Soccer, Russia, silver, 2
2012, Gymnastics, Bulgaria, bronze, 5
2008, Cycling, Russia, bronze, 4
2016, Athletics, Hungary, gold, 6
2004, Rowing, Canada, gold, 6
2012, Cycling, France, gold, 6
2016, Modern Pentathlon, Norway, silver, 0
2012, Tennis, Australia, silver, 6
2012, Gymnastics, Japan, bronze, 4
2008, Rowing, Belgium, silver, 0
2016, Football / Soccer, Austria, s, 1
2012, Synchronized Swimming, Soviet Union, bronze, 5
2016, Cycling, Romania, bronze, 0
2012, Volleyball, Netherlands, bronze, 1
2016, Swimming, Japan, silver, 6
2008, Football / Soccer, China, bronze, 6
2012, Gymnastics, Cuba, gold, 6
2008, Modern Pentathlon, Finland, bronze, 2
2004, Athletics, Finland, gold, 4
2008, Gymnastics, Netherlands, gold, 4
2012, Athletics, France, bronze, 5
2008, Rowing, France, bronze, 2
2008, Swimming, China, gold, 6
2012, Football / Soccer, East Germany, silver, 3
2012, Volleyball, Romania, bronze, 4
2012, Tennis, Hungary, bronze, 3
2004, Swimming, Netherlands, gold, 0
2004, Synchronized Swimming, United States, gold, 0
2008, Rowing, France, silver, 0
2016, Rowing, Commonwealth of Independent States, gold, 3
8, Swimming, Commonwealth of Independent States, gold, 4
2004, Athletics, Denemark, bronze, 5
2016, Tennis, Canada, silver, 5
2012, Tennis, Great Britain, s, 5
2012, Volleyball, Cuba, bronze, 3
2012, Tennis, Sweden, gold, 4
2004, Cycling, Belgium, gold, 5
2008, Rowing, Denemark, gold, 0
2016, Volleyball, Finland, silver, 6
2016, Synchronized Swimming, South Korea, bronze, 5
2012, Football / Soccer, Sweden, bronze, 2
2016, Volleyball, Poland, bronze, 1
2008, Swimming, Denemark, silver, 1
2012, Synchronized Swimming, Australia, silver, 6
2004, Volleyball, Soviet Union, bronze, 6
2016, Gymnastics, Czechoslovakia, bronze, 4
2008, Modern Pentathlon, Cuba, gold, 4
2004, Gymnastics, Italy, g, 4
2012, Gymnastics, France, silver, 1
2012, Volleyball, West Germany, silver, 6
2004, Swimming, Great Britain, gold, 4
2008, Cycling, Soviet Union, gold, 5
2004, Football / Soccer, Germany, silver, 5
2008, Modern Pentathlon, Czechoslovakia, silver, 3
2004, Volleyball, Romania, silver, 5
2008, Swimming, South Korea, gold, 2
2012, Swimming, Cuba, gold, 2
2012, Synchronized Swimming, Australia, gold, 3
2008, Volleyball, Sweden, silver, 4
2004, Athletics, Switzerland, bronze, 4
2012, Athletics, Commonwealth of Independent States, gold, 2
2004, Cycling, China, bronze, 2
2012, Football / Soccer, East Germany, bronze, 2
2012, Cycling, Japan, gold, 0
2004, Modern Pentathlon, Italy, silver, 3
2012, Rowing, Sweden, bronze, 0
2012, Cycling, Cuba, bronze, 1
2016, Tennis, Turkey, silver, 1
2016, Modern Pentathlon, South Korea, gold, 4
12, Rowing, Italy, gold, 0
2008, Football / Soccer, China, gold, 6
2016, Synchronized Swimming, United States, bronze, 6
2004, Synchronized Swimming, Commonwealth of Independent States, s, 4
2012, Tennis, Finland, gold, 0
2008, Modern Pentathlon, Soviet Union, silver, 0
2004, Volleyball, Denemark, bronze, 6
2012, Rowing, Hungary, bronze, 3
2004, Football / Soccer, Belgium, gold, 6
2008, Rowing, South Korea, bronze, 5
2008, Gymnastics, Japan, silver, 4
2012, Synchronized Swimming, West Germany, gold, 4
2016, Gymnastics, Romania, silver, 5
2004, Modern Pentathlon, Belgium, bronze, 2
2008, Volleyball, Great Britain, gold, 0
2004, Swimming, South Korea, silver, 0
2016, Modern Pentathlon, Switzerland, gold, 0
2004, Rowing, Russia, bronze, 1
2004, Modern Pentathlon, Poland, gold, 3
2016, Rowing, Norway, bronze, 4
2008, Athletics, Australia, silver, 1
2004, Rowing, Germany, gold, 4
2016, Synchronized Swimming, Bulgaria, bronze, 3
2012, Rowing, Finland, bronze, 2
2004, Swimming, Finland, gold, 3
2008, Swimming, United States, bronze, 2
2012, Synchronized Swimming, West Germany, silver, 2
2016, Modern Pentathlon, Austria, silver, 3
2008, Tennis, France, silver, 2
2012, Cycling, Japan, silver, 2
2016, Synchronized Swimming, West Germany, bronze, 6
2016, Football / Soccer, Soviet Union, silver, 6
2008, Swimming, Belgium, silver, 4
2008, Rowing, Germany, silver, 4
2016, Swimming, Switzerland, gold, 6
2008, Cycling, East Germany, bronze, 4
2016, Volleyball, Switzerland, bronze, 2
2004, Modern Pentathlon, Czechoslovakia, bronze, 1
2012, Rowing, Commonwealth of Independent States, silver, 5
2008, Athletics, Austria, gold, 5
2012, Cycling, United States, silver, 3
2016, Rowing, Poland, bronze, 2
2016, Cycling, Australia, g, 3
2016, Swimming, United States, silver, 1
2012, Gymnastics, Romania, bronze, 1
2004, Synchronized Swimming, Finland, bronze, 3
2016, Modern Pentathlon, East Germany, bronze, 4
2008, Athletics, Canada, silver, 3
2004, Modern Pentathlon, Germany, silver, 3
2008, Athletics, Romania, bronze, 5
2008, Gymnastics, Norway, bronze, 5
2008, Modern Pentathlon, Russia, silver, 1
2004, Gymnastics, Cuba, g, 4
2012, Tennis, Japan, silver, 3
2016, Synchronized Swimming, Bulgaria, gold, 0
2016, Volleyball, Turkey, gold, 6
2004, Tennis, Cuba, bronze, 3
2004, Swimming, Norway, bronze, 2
2016, Athletics, Poland, bronze, 5
2012, Athletics, Japan, silver, 4
2004, Synchronized Swimming, France, bronze, 2
2016, Tennis, South Korea, bronze, 2
2012, Swimming, East Germany, bronze, 6
2004, Gymnastics, Soviet Union, silver, 1
2012, Cycling, Hungary, silver, 0
2012, Gymnastics, Turkey, silver, 4
2008, Modern Pentathlon, West Germany, gold, 3
2016, Volleyball, Netherlands, silver, 2
2004, Swimming, Russia, gold, 1
2004, Synchronized Swimming, Hungary, bronze, 1
2012, Synchronized Swimming, Czechoslovakia, bronze, 0
2004, Gymnastics, United States, silver, 1
2012, Swimming, United States, silver, 0
2004, Rowing, Sweden, gold, 2
2016, Athletics, Turkey, silver, 5
2008, Cycling, Bulgaria, gold, 2
2004, Tennis, Switzerland, gold, 0
2016, Athletics, Finland, silver, 2
2008, Volleyball, Netherlands, gold, 0
2008, Gymnastics, Poland, gold, 2
2012, Tennis, Finland, bronze, 3
2004, Modern Pentathlon, Italy, gold, 2
2016, Football / Soccer, China, silver, 0
2012, Gymnastics, Netherlands, gold, 6
2016, Swimming, Russia, bronze, 1
2004, Football / Soccer, Switzerland, silver, 3
2016, Cycling, Bulgaria, silver, 4
2004, Modern Pentathlon, Romania, silver, 1
2004, Tennis, Netherlands, bronze, 2
2016, Synchronized Swimming, Russia, gold, 1
2004, Swimming, West Germany, bronze, 1
2004, Athletics, Finland, b, 3
2004, Football / Soccer, Poland, gold, 3
2016, Synchronized Swimming, Italy, s, 2
2016, Volleyball, Cuba, bronze, 1
2012, Football / Soccer, Finland, silver, 1
2004, Athletics, Austria, silver, 4
2016, Cycling, Canada, bronze, 4
2004, Rowing, Germany, bronze, 1
2008, Gymnastics, Switzerland, bronze, 6
2012, Athletics, Italy, silver, 4
2012, Gymnastics, Bulgaria, silver, 2
2016, Gymnastics, Canada, gold, 5
2008, Synchronized Swimming, Austria, silver, 5
2004, Athletics, Norway, silver, 4
2016, Synchronized Swimming, Netherlands, bronze, 6
2012, Synchronized Swimming, East Germany, bronze, 4
2012, Swimming, Australia, gold, 1
2008, Swimming, South Korea, bronze, 5
2008, Rowing, Hungary, gold, 6
2016, Football / Soccer, Commonwealth of Independent States, bronze, 1
2016, Volleyball, Sweden, bronze, 0
2016, Tennis, Norway, bronze, 6
2012, Rowing, Poland, gold, 5
2008, Synchronized Swimming, Russia, gold, 2
2016, Modern Pentathlon, Hungary, bronze, 2
2008, Cycling, Belgium, bronze, 0
2008, Gymnastics, United States, bronze, 4
2004, Rowing, Hungary, bronze, 4
2004, Synchronized Swimming, France, gold, 0
2008, Gymnastics, Finland, bronze, 4
2012, Gymnastics, Canada, silver, 6
2008, Synchronized Swimming, Norway, gold, 0
2016, Swimming, Austria, gold, 2
2012, Football / Soccer, Belgium, bronze, 5
2012, Swimming, Germany, silver, 6
2016, Modern Pentathlon, South Korea, silver, 3
2012, Swimming, Germany, gold, 0
2008, Tennis, Denemark, silver, 5
2004, Synchronized Swimming, Great Britain, gold, 4
2012, Synchronized Swimming, Romania, bronze, 3
2008, Swimming, Turkey, bronze, 0
2004, Football / Soccer, Germany, bronze, 1
2004, Cycling, Cuba, silver, 4
2012, Athletics, China, gold, 4
2012, Athletics, Italy, bronze, 4
2012, Athletics, Sweden, bronze, 2
2016, Gymnastics, Italy, gold, 3
2012, Rowing, South Korea, silver, 0
2008, Rowing, Germany, gold, 4
2012, Rowing, Hungary, gold, 0
2012, Gymnastics, Denemark, bronze, 4
2004, Cycling, Netherlands, gold, 3
2012, Modern Pentathlon, Canada, silver, 2
2016, Modern Pentathlon, France, bronze, 1
2004, Modern Pentathlon, France, bronze, 5
2008, Volleyball, South Korea, silver, 2
2008, Rowing, Soviet Union, gold, 4
2012, Synchronized Swimming, Turkey, gold, 5
2008, Gymnastics, Germany, silver, 1
2008, Swimming, Germany, gold, 1
2004, Tennis, Sweden, bronze, 0
2016, Modern Pentathlon, Germany, silver, 4
2012, Modern Pentathlon, Netherlands, bronze, 2
2016, Gymnastics, Switzerland, gold, 1
2012, Swimming, Great Britain, gold, 0
2008, Modern Pentathlon, Switzerland, gold, 1
2016, Volleyball, Hungary, gold, 6
2004, Football / Soccer, Netherlands, silver, 2
2008, Swimming, Poland, silver, 6
2016, Modern Pentathlon, Poland, gold, 2
2008, Cycling, South Korea, gold, 4
2012, Modern Pentathlon, Turkey, silver, 1
